"","Overall","marker","n.fold","method","variable"
"V215412",0.221473589678142,"V2154","2","RF","3"
"V215512",0.0619011152181021,"V2155","2","RF","3"
"V215612",0.10153598475419,"V2156","2","RF","3"
"V215712",0.108482677605224,"V2157","2","RF","3"
"V215812",0.0997813382618843,"V2158","2","RF","3"
"V215912",0.108450517149102,"V2159","2","RF","3"
"V216012",0.104699868674049,"V2160","2","RF","3"
"V216112",0.216067375235919,"V2161","2","RF","3"
"V216212",0.126385367466215,"V2162","2","RF","3"
"V216312",0.155216299728571,"V2163","2","RF","3"
"V216412",0.194771360737451,"V2164","2","RF","3"
"V216512",0.211182805755156,"V2165","2","RF","3"
"V216612",0.15369507422157,"V2166","2","RF","3"
"V216712",0.325363795001772,"V2167","2","RF","3"
"V216812",0.198941071470455,"V2168","2","RF","3"
"V216912",0.165611884613849,"V2169","2","RF","3"
"V217012",0.0587730818105814,"V2170","2","RF","3"
"V217112",0.1331308364146,"V2171","2","RF","3"
"V217212",0.0757086378336455,"V2172","2","RF","3"
"V217312",0.125976433409668,"V2173","2","RF","3"
"V217412",0.0517273135044406,"V2174","2","RF","3"
"V217512",0.0842776594857439,"V2175","2","RF","3"
"V217612",0.0810697888048382,"V2176","2","RF","3"
"V217712",0.120021538678568,"V2177","2","RF","3"
"V217812",0.099447950247731,"V2178","2","RF","3"
"V217912",0.113387878255193,"V2179","2","RF","3"
"V218012",0.171181672648439,"V2180","2","RF","3"
"V218112",0.168659816630646,"V2181","2","RF","3"
"V218212",0.0901080140233781,"V2182","2","RF","3"
"V218312",0.0961560514653508,"V2183","2","RF","3"
"V218412",0.117207101776265,"V2184","2","RF","3"
"V218512",0.099816247208857,"V2185","2","RF","3"
"V218612",0.0823134099190165,"V2186","2","RF","3"
"V218712",0.198186339601058,"V2187","2","RF","3"
"V218812",0.398422202860338,"V2188","2","RF","3"
"V218912",0.112111849679177,"V2189","2","RF","3"
"V219012",0.107541725239669,"V2190","2","RF","3"
"V219112",0.18703307574556,"V2191","2","RF","3"
"V219212",0.0494011864233961,"V2192","2","RF","3"
"V219312",0.0892345857250845,"V2193","2","RF","3"
"V219412",0.0866335336953612,"V2194","2","RF","3"
"V219512",0.123943290068464,"V2195","2","RF","3"
"V219612",0.105860020345179,"V2196","2","RF","3"
"V219712",0.169420544059985,"V2197","2","RF","3"
"V219812",0.170684766643953,"V2198","2","RF","3"
"V219912",0.169639009280675,"V2199","2","RF","3"
"V220012",0.0732383105106938,"V2200","2","RF","3"
"V220112",0.0798195590266588,"V2201","2","RF","3"
"V220212",0.0971968143578356,"V2202","2","RF","3"
"V220312",0.0765059763629975,"V2203","2","RF","3"
"V220412",0.154907185783545,"V2204","2","RF","3"
"V220512",0.141379649309252,"V2205","2","RF","3"
"V220612",0.126544441931198,"V2206","2","RF","3"
"V220712",0.151630847149758,"V2207","2","RF","3"
"V220812",0.0477232197831846,"V2208","2","RF","3"
"V220912",0.0946251180558075,"V2209","2","RF","3"
"V221012",0.10768278536933,"V2210","2","RF","3"
"V221112",0.0576277280433008,"V2211","2","RF","3"
"V221212",0.132313379719078,"V2212","2","RF","3"
"V221312",0.0477693026963477,"V2213","2","RF","3"
"V221412",0.159871078755484,"V2214","2","RF","3"
"V221512",0.160484024611854,"V2215","2","RF","3"
"V221612",0.20693814212967,"V2216","2","RF","3"
"V221712",0.196752120538895,"V2217","2","RF","3"
"V221812",0.0694327804949003,"V2218","2","RF","3"
"V221912",0.0866951787461419,"V2219","2","RF","3"
"V222012",0.146842761338463,"V2220","2","RF","3"
"V222112",0.253458791168871,"V2221","2","RF","3"
"V222212",0.117455690963181,"V2222","2","RF","3"
"V222312",0.0719790163830684,"V2223","2","RF","3"
"V222412",0.0365777200649183,"V2224","2","RF","3"
"V222512",0.0859929304745432,"V2225","2","RF","3"
"V222612",0.331791130366786,"V2226","2","RF","3"
"V222712",0.224159198320808,"V2227","2","RF","3"
"V222812",0.104366230716179,"V2228","2","RF","3"
"V222912",0.636874200657217,"V2229","2","RF","3"
"V223012",0.185680664678917,"V2230","2","RF","3"
"V223112",0.629001924260492,"V2231","2","RF","3"
"V223212",0.333902853846806,"V2232","2","RF","3"
"V223312",0.914203159918457,"V2233","2","RF","3"
"V223412",0.807176596767593,"V2234","2","RF","3"
"V223512",1.03645379965299,"V2235","2","RF","3"
"V223612",0.402780704184533,"V2236","2","RF","3"
"V223712",0.357868614477141,"V2237","2","RF","3"
"V223812",0.730345630714808,"V2238","2","RF","3"
"V223912",0.462345708107712,"V2239","2","RF","3"
"V224012",0.300987950559229,"V2240","2","RF","3"
"V224112",0.127640948168267,"V2241","2","RF","3"
"V224212",0.353292912858731,"V2242","2","RF","3"
"V224312",0.319271798303561,"V2243","2","RF","3"
"V224412",0.389306798812569,"V2244","2","RF","3"
"V224512",0.204879838016748,"V2245","2","RF","3"
"V224612",0.126250870021637,"V2246","2","RF","3"
"V224712",0.223759475709302,"V2247","2","RF","3"
"V224812",0.316833031340883,"V2248","2","RF","3"
"V224912",0.4476764333978,"V2249","2","RF","3"
"V225012",0.141450134346763,"V2250","2","RF","3"
"V225112",0.163253017728405,"V2251","2","RF","3"
"V225212",0.113019860062006,"V2252","2","RF","3"
"V225312",0.193683030376504,"V2253","2","RF","3"
"V225412",0.166774847331319,"V2254","2","RF","3"
"V225512",0.068442664714507,"V2255","2","RF","3"
"V225612",0.0936773626035064,"V2256","2","RF","3"
"V225712",0.206477891136884,"V2257","2","RF","3"
"V225812",0.18406728536538,"V2258","2","RF","3"
"V225912",0.19909632113327,"V2259","2","RF","3"
"V226012",0.337762168672843,"V2260","2","RF","3"
"V226112",0.563705801101042,"V2261","2","RF","3"
"V226212",0.375842831219335,"V2262","2","RF","3"
"V226312",0.308298347712406,"V2263","2","RF","3"
"V226412",0.223257219760579,"V2264","2","RF","3"
"V226512",0.290441135051305,"V2265","2","RF","3"
"V226612",0.904823232121692,"V2266","2","RF","3"
"V226712",1.2844555354183,"V2267","2","RF","3"
"V226812",0.444186312417834,"V2268","2","RF","3"
"V226912",0.389416712659764,"V2269","2","RF","3"
"V227012",0.294261373498674,"V2270","2","RF","3"
"V227112",0.505663971573456,"V2271","2","RF","3"
"V227212",0.319771761470689,"V2272","2","RF","3"
"V227312",0.723681371709636,"V2273","2","RF","3"
"V227412",0.19260884487429,"V2274","2","RF","3"
"V227512",0.294184185337827,"V2275","2","RF","3"
"V227612",0.334588815112914,"V2276","2","RF","3"
"V227712",0.631991028295412,"V2277","2","RF","3"
"V227812",0.458066360360318,"V2278","2","RF","3"
"V227912",0.198947132659871,"V2279","2","RF","3"
"V228012",0.6499363300122,"V2280","2","RF","3"
"V228112",0.317608620366945,"V2281","2","RF","3"
"V228212",0.377305168906839,"V2282","2","RF","3"
"V228312",0.489628955872561,"V2283","2","RF","3"
"V228412",0.497730444103158,"V2284","2","RF","3"
"V228512",0.172177236378388,"V2285","2","RF","3"
"V228612",0.299847066253686,"V2286","2","RF","3"
"V228712",0.176226899449858,"V2287","2","RF","3"
"V228812",0.351346655671292,"V2288","2","RF","3"
"V228912",0.16752843578368,"V2289","2","RF","3"
"V229012",0.248641112234576,"V2290","2","RF","3"
"V229112",0.181740519856244,"V2291","2","RF","3"
"V229212",0.138305593271269,"V2292","2","RF","3"
"V229312",0.341144107443291,"V2293","2","RF","3"
"V229412",0.202859419055958,"V2294","2","RF","3"
"V229512",0.102903539528582,"V2295","2","RF","3"
"V229612",0.0790515338988633,"V2296","2","RF","3"
"V229712",0.16816458763132,"V2297","2","RF","3"
"V229812",0.0677883032415095,"V2298","2","RF","3"
"V229912",0.197716327416929,"V2299","2","RF","3"
"V230012",0.0886816070706936,"V2300","2","RF","3"
"V230112",0.0992210617063981,"V2301","2","RF","3"
"V230212",0.13040037029542,"V2302","2","RF","3"
"V230312",0.0906958499101352,"V2303","2","RF","3"
"V230412",0.0976488848046894,"V2304","2","RF","3"
"V230512",0.109209728924063,"V2305","2","RF","3"
"V230612",0.138435101033453,"V2306","2","RF","3"
"V230712",0.255835416148572,"V2307","2","RF","3"
"V230812",0.272357388767791,"V2308","2","RF","3"
"V230912",0.157119423750333,"V2309","2","RF","3"
"V231012",0.141577533513915,"V2310","2","RF","3"
"V231112",0.106996049052136,"V2311","2","RF","3"
"V231212",0.23931561976374,"V2312","2","RF","3"
"V231312",0.103555140650145,"V2313","2","RF","3"
"V231412",0.0604591918195036,"V2314","2","RF","3"
"V231512",0.0680214168198937,"V2315","2","RF","3"
"V231612",0.201741764566627,"V2316","2","RF","3"
"V231712",0.170076061866648,"V2317","2","RF","3"
"V231812",0.062883218569399,"V2318","2","RF","3"
"V231912",0.101939328267989,"V2319","2","RF","3"
"V232012",0.0729299238549085,"V2320","2","RF","3"
"V232112",0.099043175091455,"V2321","2","RF","3"
"V232212",0.119932866169854,"V2322","2","RF","3"
"V232312",0.0832730287965752,"V2323","2","RF","3"
"V232412",0.0921461468065185,"V2324","2","RF","3"
"V232512",0.0820094486736606,"V2325","2","RF","3"
"V232612",0.0749229392502673,"V2326","2","RF","3"
"V232712",0.0631792408223911,"V2327","2","RF","3"
"V232812",0.0953393134434048,"V2328","2","RF","3"
"V232912",0.150242759938735,"V2329","2","RF","3"
"V233012",0.228872492593313,"V2330","2","RF","3"
"V233112",0.172221219029043,"V2331","2","RF","3"
"V233212",0.146118559744326,"V2332","2","RF","3"
"V233312",0.0593106631486101,"V2333","2","RF","3"
"V233412",0.0918811830025367,"V2334","2","RF","3"
"V233512",0.148466661031283,"V2335","2","RF","3"
"V233612",0.112498728763782,"V2336","2","RF","3"
"V233712",0.0871677887920331,"V2337","2","RF","3"
"V233812",0.0882681310491949,"V2338","2","RF","3"
"V233912",0.0636460291713219,"V2339","2","RF","3"
"V234012",0.0861259405298761,"V2340","2","RF","3"
"V234112",0.119477911108756,"V2341","2","RF","3"
"V234212",0.0867902367536421,"V2342","2","RF","3"
"V234312",0.160614966187089,"V2343","2","RF","3"
"V234412",0.0265888755582931,"V2344","2","RF","3"
"V234512",0.0480064514109831,"V2345","2","RF","3"
"V234612",0.119170201666717,"V2346","2","RF","3"
"V234712",0.0947535613625306,"V2347","2","RF","3"
"V234812",0.139465404133084,"V2348","2","RF","3"
"V234912",0.118805239558259,"V2349","2","RF","3"
"V235012",0.0895326962083282,"V2350","2","RF","3"
"V235112",0.0784360041407805,"V2351","2","RF","3"
"V235212",0.0654180565225382,"V2352","2","RF","3"
"V235312",0.0932779075752654,"V2353","2","RF","3"
"V235412",0.107137705739624,"V2354","2","RF","3"
"V235512",0.119146753653747,"V2355","2","RF","3"
"V235612",0.103299920881464,"V2356","2","RF","3"
"V235712",0.0984091780841449,"V2357","2","RF","3"
"V235812",0.107924166108951,"V2358","2","RF","3"
"V235912",0.0965892022960271,"V2359","2","RF","3"
"V236012",0.0763657537657152,"V2360","2","RF","3"
"V236112",0.114113118282501,"V2361","2","RF","3"
"V236212",0.0677474052420842,"V2362","2","RF","3"
"V236312",0.0865143382944756,"V2363","2","RF","3"
"V236412",0.0866541410378729,"V2364","2","RF","3"
"V236512",0.162906787581222,"V2365","2","RF","3"
"V236612",0.0781426727231912,"V2366","2","RF","3"
"V236712",0.0582951999225272,"V2367","2","RF","3"
"V236812",0.102940876924739,"V2368","2","RF","3"
"V236912",0.16359534325985,"V2369","2","RF","3"
"V237012",0.114189768996206,"V2370","2","RF","3"
"V237112",0.0565892059265286,"V2371","2","RF","3"
"V237212",0.0763937256861904,"V2372","2","RF","3"
"V237312",0.143120171181173,"V2373","2","RF","3"
"V237412",0.201962675136737,"V2374","2","RF","3"
"V237512",0.180037127191254,"V2375","2","RF","3"
"V237612",0.17694984080752,"V2376","2","RF","3"
"V237712",0.175884559547389,"V2377","2","RF","3"
"V237812",0.171267648305819,"V2378","2","RF","3"
"V237912",0.242744702976481,"V2379","2","RF","3"
"V238012",0.219436709941344,"V2380","2","RF","3"
"V238112",0.108203579231131,"V2381","2","RF","3"
"V238212",0.126203183027658,"V2382","2","RF","3"
"V238312",0.109396600249812,"V2383","2","RF","3"
"V238412",0.31065108385709,"V2384","2","RF","3"
"V238512",0.27891133736794,"V2385","2","RF","3"
"V238612",0.291091223900416,"V2386","2","RF","3"
"V238712",0.305281405237187,"V2387","2","RF","3"
"V238812",0.321511841174562,"V2388","2","RF","3"
"V238912",0.382499030256528,"V2389","2","RF","3"
"V239012",0.110297104090702,"V2390","2","RF","3"
"V239112",0.298413543064283,"V2391","2","RF","3"
"V239212",0.0980939834222468,"V2392","2","RF","3"
"V239312",0.364059692054521,"V2393","2","RF","3"
"V239412",0.163773962929356,"V2394","2","RF","3"
"V239512",0.613505187109598,"V2395","2","RF","3"
"V239612",0.358358982493551,"V2396","2","RF","3"
"V239712",0.617828719016688,"V2397","2","RF","3"
"V239812",0.305631519337542,"V2398","2","RF","3"
"V239912",0.319974978178387,"V2399","2","RF","3"
"V240012",0.284359730481558,"V2400","2","RF","3"
"V240112",0.165798076372835,"V2401","2","RF","3"
"V240212",0.191329639780091,"V2402","2","RF","3"
"V240312",0.350781713107747,"V2403","2","RF","3"
"V240412",0.212016054815594,"V2404","2","RF","3"
"V240512",0.492185533231669,"V2405","2","RF","3"
"V240612",0.455137234274521,"V2406","2","RF","3"
"V240712",0.163277916592569,"V2407","2","RF","3"
"V240812",0.174107482286126,"V2408","2","RF","3"
"V240912",0.138394223002945,"V2409","2","RF","3"
"V241012",0.133302846135427,"V2410","2","RF","3"
"V241112",0.224849360060978,"V2411","2","RF","3"
"V241212",0.195729288959573,"V2412","2","RF","3"
"V241312",0.155107388665389,"V2413","2","RF","3"
"V241412",0.123907975695615,"V2414","2","RF","3"
"V241512",0.11070360368279,"V2415","2","RF","3"
"V241612",0.103320824964173,"V2416","2","RF","3"
"V241712",0.172117265390688,"V2417","2","RF","3"
"V241812",0.0914770313824985,"V2418","2","RF","3"
"V241912",0.206895141255526,"V2419","2","RF","3"
"V242012",0.153753565954206,"V2420","2","RF","3"
"V242112",0.169254773198145,"V2421","2","RF","3"
"V242212",0.224779991524606,"V2422","2","RF","3"
"V242312",0.170572759688964,"V2423","2","RF","3"
"V242412",0.124757572953959,"V2424","2","RF","3"
"V242512",0.134335828196134,"V2425","2","RF","3"
"V242612",0.154414203155096,"V2426","2","RF","3"
"V242712",0.114889993758353,"V2427","2","RF","3"
"V242812",0.139922930461304,"V2428","2","RF","3"
"V242912",0.112578066104173,"V2429","2","RF","3"
"V243012",0.0919994080633165,"V2430","2","RF","3"
"V243112",0.119380449527829,"V2431","2","RF","3"
"V243212",0.0941831581914536,"V2432","2","RF","3"
"V243312",0.106585077420351,"V2433","2","RF","3"
"V243412",0.0371727524248317,"V2434","2","RF","3"
"V243512",0.0569885892258359,"V2435","2","RF","3"
"V243612",0.122816678138228,"V2436","2","RF","3"
"V243712",0.163925224075903,"V2437","2","RF","3"
"V243812",0.12243579666923,"V2438","2","RF","3"
"V243912",0.07474811494429,"V2439","2","RF","3"
"V244012",0.152279069654315,"V2440","2","RF","3"
"V244112",0.0831615869931324,"V2441","2","RF","3"
"V244212",0.150072615394934,"V2442","2","RF","3"
"V244312",0.129599204190662,"V2443","2","RF","3"
"V244412",0.232911875637136,"V2444","2","RF","3"
"V244512",0.169909018313203,"V2445","2","RF","3"
"V244612",0.136046836726553,"V2446","2","RF","3"
"V244712",0.159940478137395,"V2447","2","RF","3"
"V244812",0.376408048595356,"V2448","2","RF","3"
"V244912",0.235055818542347,"V2449","2","RF","3"
"V245012",0.323686687025993,"V2450","2","RF","3"
"V245112",0.163029135862299,"V2451","2","RF","3"
"V245212",0.405170288890699,"V2452","2","RF","3"
"V245312",0.203466409565648,"V2453","2","RF","3"
"V245412",0.219564633167707,"V2454","2","RF","3"
"V245512",0.124251707986056,"V2455","2","RF","3"
"V245612",0.290544661269189,"V2456","2","RF","3"
"V245712",0.125376396610239,"V2457","2","RF","3"
"V245812",0.316395668770656,"V2458","2","RF","3"
"V245912",0.0979545233542877,"V2459","2","RF","3"
"V246012",0.0537315893808845,"V2460","2","RF","3"
"V246112",0.427417358428821,"V2461","2","RF","3"
"V246212",0.0643583067456168,"V2462","2","RF","3"
"V246312",0.12440918900277,"V2463","2","RF","3"
"V246412",0.206317998240024,"V2464","2","RF","3"
"V246512",0.189036118639187,"V2465","2","RF","3"
"V246612",0.21685486324449,"V2466","2","RF","3"
"V246712",0.145004990712484,"V2467","2","RF","3"
"V246812",0.101211203701166,"V2468","2","RF","3"
"V246912",0.107147120268038,"V2469","2","RF","3"
"V247012",0.205424382350364,"V2470","2","RF","3"
"V247112",0.177704331415265,"V2471","2","RF","3"
"V247212",0.292781844141015,"V2472","2","RF","3"
"V247312",0.21691998046138,"V2473","2","RF","3"
"V247412",0.113142758730721,"V2474","2","RF","3"
"V247512",0.130429512638624,"V2475","2","RF","3"
"V247612",0.143435935618305,"V2476","2","RF","3"
"V247712",0.0950547276475391,"V2477","2","RF","3"
"V247812",0.142024698052129,"V2478","2","RF","3"
"V247912",0.102572976195146,"V2479","2","RF","3"
"V248012",0.0675219622558507,"V2480","2","RF","3"
"V248112",0.160096930022121,"V2481","2","RF","3"
"V248212",0.273210951541661,"V2482","2","RF","3"
"V248312",0.281690002359464,"V2483","2","RF","3"
"V248412",0.213684806571593,"V2484","2","RF","3"
"V248512",0.222835541699372,"V2485","2","RF","3"
"V248612",0.296667108597856,"V2486","2","RF","3"
"V248712",0.263792304078807,"V2487","2","RF","3"
"V248812",0.0514318633293133,"V2488","2","RF","3"
"V248912",0.0997885797265482,"V2489","2","RF","3"
"V249012",0.196907699778785,"V2490","2","RF","3"
"V249112",0.313623716184846,"V2491","2","RF","3"
"V249212",0.42590750867363,"V2492","2","RF","3"
"V249312",0.34719353053404,"V2493","2","RF","3"
"V249412",0.187795906435786,"V2494","2","RF","3"
"V249512",0.129236610790315,"V2495","2","RF","3"
"V249612",0.161717032516244,"V2496","2","RF","3"
"V249712",0.217415573795226,"V2497","2","RF","3"
"V249812",0.161802396404202,"V2498","2","RF","3"
"V249912",0.16903076684461,"V2499","2","RF","3"
"V250012",0.0853736618027652,"V2500","2","RF","3"
"V250112",0.190601369816013,"V2501","2","RF","3"
"V250212",0.101672142539438,"V2502","2","RF","3"
"V250312",0.112311587402817,"V2503","2","RF","3"
"V250412",0.165031290013391,"V2504","2","RF","3"
"V250512",0.264073679231065,"V2505","2","RF","3"
"V250612",0.39292855614973,"V2506","2","RF","3"
"V250712",0.406267146325733,"V2507","2","RF","3"
"V250812",0.14115359980696,"V2508","2","RF","3"
"V250912",0.132381243236618,"V2509","2","RF","3"
"V251012",0.136071861894012,"V2510","2","RF","3"
"V251112",0.143313240864094,"V2511","2","RF","3"
"V251212",0.0869292980110613,"V2512","2","RF","3"
"V251312",0.0935451819346307,"V2513","2","RF","3"
"V251412",0.0845911608268674,"V2514","2","RF","3"
"V251512",0.0590549251694119,"V2515","2","RF","3"
"V251612",0.118201609564101,"V2516","2","RF","3"
"V251712",0.078783781255567,"V2517","2","RF","3"
"V251812",0.10031425802281,"V2518","2","RF","3"
"V251912",0.121706671907557,"V2519","2","RF","3"
"V252012",0.146126948592616,"V2520","2","RF","3"
"V252112",0.126795059212962,"V2521","2","RF","3"
"V252212",0.131569697770458,"V2522","2","RF","3"
"V252312",0.111010873616204,"V2523","2","RF","3"
"V252412",0.125451564535442,"V2524","2","RF","3"
"V252512",0.134299702635444,"V2525","2","RF","3"
"V252612",0.206101772136437,"V2526","2","RF","3"
"V252712",0.274689773695112,"V2527","2","RF","3"
"V252812",0.412345118524953,"V2528","2","RF","3"
"V252912",0.283529852077214,"V2529","2","RF","3"
"V253012",0.355262974368696,"V2530","2","RF","3"
"V253112",0.280334475174083,"V2531","2","RF","3"
"V253212",0.0402338534718296,"V2532","2","RF","3"
"V253312",0.0976335467286558,"V2533","2","RF","3"
"V253412",0.123824715578419,"V2534","2","RF","3"
"V253512",0.115962219785712,"V2535","2","RF","3"
"V253612",0.165746337651237,"V2536","2","RF","3"
"V253712",0.225434601193154,"V2537","2","RF","3"
"V253812",0.161690360214768,"V2538","2","RF","3"
"V253912",0.139523735274743,"V2539","2","RF","3"
"V254012",0.1331807701617,"V2540","2","RF","3"
"V254112",0.192588211726688,"V2541","2","RF","3"
"V254212",0.106971189728284,"V2542","2","RF","3"
"V254312",0.21482978522506,"V2543","2","RF","3"
"V254412",0.109448403049424,"V2544","2","RF","3"
"V254512",0.433750890889077,"V2545","2","RF","3"
"V254612",0.569424578049737,"V2546","2","RF","3"
"V254712",0.519293963374251,"V2547","2","RF","3"
"V254812",0.456351484835827,"V2548","2","RF","3"
"V254912",0.633868071923375,"V2549","2","RF","3"
"V255012",0.34315540259162,"V2550","2","RF","3"
"V255112",0.535965544059851,"V2551","2","RF","3"
"V255212",0.916451127080344,"V2552","2","RF","3"
"V255312",0.468428577863872,"V2553","2","RF","3"
"V255412",0.194121541471278,"V2554","2","RF","3"
"V255512",0.125666768169506,"V2555","2","RF","3"
"V255612",0.463497871471818,"V2556","2","RF","3"
"V255712",0.243752121074422,"V2557","2","RF","3"
"V255812",0.520125508132198,"V2558","2","RF","3"
"V255912",0.288368915467333,"V2559","2","RF","3"
"V256012",0.317194494540592,"V2560","2","RF","3"
"V256112",0.25423945980125,"V2561","2","RF","3"
"V256212",0.103407338396897,"V2562","2","RF","3"
"V256312",0.151477989026559,"V2563","2","RF","3"
"V256412",0.247505779895778,"V2564","2","RF","3"
"V256512",0.352121650292244,"V2565","2","RF","3"
"V256612",0.238172765246954,"V2566","2","RF","3"
"V256712",0.518570926155698,"V2567","2","RF","3"
"V256812",0.224003354508627,"V2568","2","RF","3"
"V256912",0.345723637684117,"V2569","2","RF","3"
"V257012",0.330210524669228,"V2570","2","RF","3"
"V257112",0.19493582147609,"V2571","2","RF","3"
"V257212",0.0759491107541067,"V2572","2","RF","3"
"V257312",0.244481721844026,"V2573","2","RF","3"
"V257412",0.190554908929424,"V2574","2","RF","3"
"V257512",0.0656917507851189,"V2575","2","RF","3"
"V257612",0.174514895585936,"V2576","2","RF","3"
"V257712",0.120473439506744,"V2577","2","RF","3"
"V257812",0.097184733806091,"V2578","2","RF","3"
"V257912",0.165126815519844,"V2579","2","RF","3"
"V258012",0.180280515168166,"V2580","2","RF","3"
"V258112",0.143813750008183,"V2581","2","RF","3"
"V258212",0.108076158008962,"V2582","2","RF","3"
"V258312",0.199570243636791,"V2583","2","RF","3"
"V258412",0.139636522653618,"V2584","2","RF","3"
"V258512",0.134723454324198,"V2585","2","RF","3"
"V258612",0.135117204897042,"V2586","2","RF","3"
"V258712",0.0782954999063515,"V2587","2","RF","3"
"V258812",0.0536598726189702,"V2588","2","RF","3"
"V258912",0.132282965639187,"V2589","2","RF","3"
"V259012",0.0801410150342776,"V2590","2","RF","3"
"V259112",0.157978143453789,"V2591","2","RF","3"
"V259212",0.0432221850306713,"V2592","2","RF","3"
"V259312",0.0717212036402997,"V2593","2","RF","3"
"V259412",0.152474988837368,"V2594","2","RF","3"
"V259512",0.0363852608741472,"V2595","2","RF","3"
"V259612",0.09648457166187,"V2596","2","RF","3"
"V259712",0.0241428637459365,"V2597","2","RF","3"
"V259812",0.0226496987856984,"V2598","2","RF","3"
"V259912",0.0677362460840865,"V2599","2","RF","3"
"V260012",0.0867408044526439,"V2600","2","RF","3"
"V260112",0.112192260729425,"V2601","2","RF","3"
"V260212",0.0709212854552854,"V2602","2","RF","3"
"V260312",0.120569627279614,"V2603","2","RF","3"
"V260412",0.0445171084037916,"V2604","2","RF","3"
"V260512",0.145461032692651,"V2605","2","RF","3"
"V260612",0.0753709682361919,"V2606","2","RF","3"
"V260712",0.0563824643870746,"V2607","2","RF","3"
"V260812",0.0618534505034582,"V2608","2","RF","3"
"V260912",0.0587576074438841,"V2609","2","RF","3"
"V261012",0.135216422825962,"V2610","2","RF","3"
"V261112",0.203636675665862,"V2611","2","RF","3"
"V261212",0.10451987238973,"V2612","2","RF","3"
"V261312",0.104033930159811,"V2613","2","RF","3"
"V261412",0.117544312789508,"V2614","2","RF","3"
"V261512",0.0704889943462047,"V2615","2","RF","3"
"V261612",0.0724048785306634,"V2616","2","RF","3"
"V261712",0.146795907206251,"V2617","2","RF","3"
"V261812",0.0882290358257492,"V2618","2","RF","3"
"V261912",0.120057029948709,"V2619","2","RF","3"
"V262012",0.132527500792331,"V2620","2","RF","3"
"V262112",0.125146535197794,"V2621","2","RF","3"
"V262212",0.131874114363736,"V2622","2","RF","3"
"V262312",0.0764512852062542,"V2623","2","RF","3"
"V262412",0.0375592057845601,"V2624","2","RF","3"
"V262512",0.0409302852479324,"V2625","2","RF","3"
"V262612",0.172840667388525,"V2626","2","RF","3"
"V262712",0.162610174774463,"V2627","2","RF","3"
"V262812",0.0893377997010186,"V2628","2","RF","3"
"V262912",0.0989061183631512,"V2629","2","RF","3"
"V263012",0.112627602015085,"V2630","2","RF","3"
"V263112",0.0258769690795332,"V2631","2","RF","3"
"V263212",0.0828699022465441,"V2632","2","RF","3"
"V263312",0.0972035336796178,"V2633","2","RF","3"
"V263412",0.10339519112812,"V2634","2","RF","3"
"V263512",0.0594397094771767,"V2635","2","RF","3"
"V263612",0.0885524625615743,"V2636","2","RF","3"
"V263712",0.179388391941696,"V2637","2","RF","3"
"V263812",0.129864757621688,"V2638","2","RF","3"
"V263912",0.0720088754502662,"V2639","2","RF","3"
"V264012",0.0922711615735987,"V2640","2","RF","3"
"V264112",0.0809418104992431,"V2641","2","RF","3"
"V264212",0.159437871023804,"V2642","2","RF","3"
"V264312",0.119431615501678,"V2643","2","RF","3"
"V264412",0.198565428729235,"V2644","2","RF","3"
"V264512",0.128744614326774,"V2645","2","RF","3"
"V264612",0.0433648577201203,"V2646","2","RF","3"
"V264712",0.115219094867295,"V2647","2","RF","3"
"V264812",0.119211736018553,"V2648","2","RF","3"
"V264912",0.117278117723224,"V2649","2","RF","3"
"V265012",0.139155601179762,"V2650","2","RF","3"
"V265112",0.148846675965664,"V2651","2","RF","3"
"V265212",0.115439353106579,"V2652","2","RF","3"
"V265312",0.0678835589757688,"V2653","2","RF","3"
"V265412",0.149836430759688,"V2654","2","RF","3"
"V265512",0.114978306753036,"V2655","2","RF","3"
"V265612",0.112017367402725,"V2656","2","RF","3"
"V265712",0.0910930232033011,"V2657","2","RF","3"
"V265812",0.111142052436245,"V2658","2","RF","3"
"V265912",0.171076364200598,"V2659","2","RF","3"
"V266012",0.147893974960978,"V2660","2","RF","3"
"V266112",0.195438927846062,"V2661","2","RF","3"
"V266212",0.158084008287935,"V2662","2","RF","3"
"V266312",0.0932178989155751,"V2663","2","RF","3"
"V266412",0.0903969665057209,"V2664","2","RF","3"
"V266512",0.160430452691718,"V2665","2","RF","3"
"V266612",0.0928423800005324,"V2666","2","RF","3"
"V266712",0.150709660479306,"V2667","2","RF","3"
"V266812",0.0718438430558238,"V2668","2","RF","3"
"V266912",0.055024760657439,"V2669","2","RF","3"
"V267012",0.128720904736002,"V2670","2","RF","3"
"V267112",0.088386513918538,"V2671","2","RF","3"
"V267212",0.0563948440728226,"V2672","2","RF","3"
"V267312",0.0588572173901354,"V2673","2","RF","3"
"V267412",0.110080390886611,"V2674","2","RF","3"
"V267512",0.0628013751035388,"V2675","2","RF","3"
"V267612",0.110619363795859,"V2676","2","RF","3"
"V267712",0.0988107478152717,"V2677","2","RF","3"
"V267812",0.176591009092303,"V2678","2","RF","3"
"V267912",0.087223549073649,"V2679","2","RF","3"
"V268012",0.118387202276873,"V2680","2","RF","3"
"V268112",0.118222167124771,"V2681","2","RF","3"
"V268212",0.0758958330649002,"V2682","2","RF","3"
"V268312",0.0847259345952737,"V2683","2","RF","3"
"V268412",0.164170753854245,"V2684","2","RF","3"
"V268512",0.16859482159956,"V2685","2","RF","3"
