"","Overall","marker","n.fold","method","variable"
"V163544",0.138192140221041,"V1635","5","BAG","5"
"V163644",0.141700897752105,"V1636","5","BAG","5"
"V163744",0.116344812485864,"V1637","5","BAG","5"
"V163844",0.0854633974789192,"V1638","5","BAG","5"
"V163944",0.0652049079554188,"V1639","5","BAG","5"
"V164044",0.0603907753584408,"V1640","5","BAG","5"
"V164174",0.15688119893565,"V1641","5","BAG","5"
"V164244",0.247995760218075,"V1642","5","BAG","5"
"V164344",0.0911728345375757,"V1643","5","BAG","5"
"V164444",0.0589843012476179,"V1644","5","BAG","5"
"V164544",0.118159679653328,"V1645","5","BAG","5"
"V164644",0.0763718140127968,"V1646","5","BAG","5"
"V164744",0.127500726980553,"V1647","5","BAG","5"
"V164844",0.281271812482255,"V1648","5","BAG","5"
"V164944",0.0648610066062679,"V1649","5","BAG","5"
"V165044",0.13309089819554,"V1650","5","BAG","5"
"V165174",0.123438317833885,"V1651","5","BAG","5"
"V165244",0.0818754312278004,"V1652","5","BAG","5"
"V165344",0.110936510327242,"V1653","5","BAG","5"
"V165444",0.150427968619786,"V1654","5","BAG","5"
"V165544",0.149436509137411,"V1655","5","BAG","5"
"V165644",0.187894601099101,"V1656","5","BAG","5"
"V165744",0.213080560011546,"V1657","5","BAG","5"
"V165844",0.171234743712694,"V1658","5","BAG","5"
"V165944",0.45020650252319,"V1659","5","BAG","5"
"V166044",0.175449828029686,"V1660","5","BAG","5"
"V166174",0.385470474609145,"V1661","5","BAG","5"
"V166244",0.680326848487912,"V1662","5","BAG","5"
"V166344",0.408997467222186,"V1663","5","BAG","5"
"V166444",0.519329969019147,"V1664","5","BAG","5"
"V166544",0.141228868683961,"V1665","5","BAG","5"
"V166644",0.193053058443706,"V1666","5","BAG","5"
"V166744",0.565806877305942,"V1667","5","BAG","5"
"V166844",0.0954110807263048,"V1668","5","BAG","5"
"V166944",0.192699548181993,"V1669","5","BAG","5"
"V167044",0.113990595563795,"V1670","5","BAG","5"
"V167174",0.15201594128128,"V1671","5","BAG","5"
"V167244",0.094667412774047,"V1672","5","BAG","5"
"V167344",0.247498702321308,"V1673","5","BAG","5"
"V167444",0.218931808203364,"V1674","5","BAG","5"
"V167544",0.141569199409078,"V1675","5","BAG","5"
"V167644",0.108877301651749,"V1676","5","BAG","5"
"V167744",0.121764839630774,"V1677","5","BAG","5"
"V167844",0.0600636659980706,"V1678","5","BAG","5"
"V167944",0.213235027025571,"V1679","5","BAG","5"
"V168044",0.345693938304389,"V1680","5","BAG","5"
"V168174",0.147384193706814,"V1681","5","BAG","5"
"V168244",0.196652066021998,"V1682","5","BAG","5"
"V168344",1.11937147434377,"V1683","5","BAG","5"
"V168444",0.425731228079733,"V1684","5","BAG","5"
"V168544",0.507285360599866,"V1685","5","BAG","5"
"V168644",0.251612815710547,"V1686","5","BAG","5"
"V168744",0.102524433561003,"V1687","5","BAG","5"
"V168844",0.078892563143656,"V1688","5","BAG","5"
"V168944",0.12514582399251,"V1689","5","BAG","5"
"V169044",0.110663707408776,"V1690","5","BAG","5"
"V169174",0.309057168693523,"V1691","5","BAG","5"
"V169244",0.0631678394068994,"V1692","5","BAG","5"
"V169344",0.097748715127262,"V1693","5","BAG","5"
"V169444",0.240535500328427,"V1694","5","BAG","5"
"V169544",0.102507116094103,"V1695","5","BAG","5"
"V169644",0.317116874180298,"V1696","5","BAG","5"
"V169744",0.3788056637483,"V1697","5","BAG","5"
"V169844",0.200005868221564,"V1698","5","BAG","5"
"V169944",0.0845816221481866,"V1699","5","BAG","5"
"V170044",0.121819737650044,"V1700","5","BAG","5"
"V170174",0.102551111360784,"V1701","5","BAG","5"
"V170244",0.264389259584333,"V1702","5","BAG","5"
"V170344",0.104162321891517,"V1703","5","BAG","5"
"V170444",0.122826279385974,"V1704","5","BAG","5"
"V170544",0.101192498818145,"V1705","5","BAG","5"
"V170644",0.11806616956107,"V1706","5","BAG","5"
"V170744",0.156684119543677,"V1707","5","BAG","5"
"V170844",0.158054281977983,"V1708","5","BAG","5"
"V170944",0.709552115192563,"V1709","5","BAG","5"
"V171074",0.48118753347258,"V1710","5","BAG","5"
"V171174",0.175926783139049,"V1711","5","BAG","5"
"V171244",0.256200728124544,"V1712","5","BAG","5"
"V171344",0.118026129617339,"V1713","5","BAG","5"
"V171444",0.0884420892896317,"V1714","5","BAG","5"
"V171544",0.138629755695302,"V1715","5","BAG","5"
"V171644",0.219810396488627,"V1716","5","BAG","5"
"V171744",0.233045113977184,"V1717","5","BAG","5"
"V171844",0.104425263831017,"V1718","5","BAG","5"
"V171944",0.116217435627374,"V1719","5","BAG","5"
"V172044",0.134283113030013,"V1720","5","BAG","5"
"V172174",0.160900724563218,"V1721","5","BAG","5"
"V172244",0.181307719023559,"V1722","5","BAG","5"
"V172344",0.211638248620536,"V1723","5","BAG","5"
"V172444",0.114172351127188,"V1724","5","BAG","5"
"V172544",0.296180110743505,"V1725","5","BAG","5"
"V172644",0.0940424108163706,"V1726","5","BAG","5"
"V172744",0.139413559238715,"V1727","5","BAG","5"
"V172844",0.304167096391986,"V1728","5","BAG","5"
"V172944",0.139327964658858,"V1729","5","BAG","5"
"V173044",0.10936373732442,"V1730","5","BAG","5"
"V173174",0.144942473429207,"V1731","5","BAG","5"
"V173244",0.128179334638661,"V1732","5","BAG","5"
"V173344",0.112040820229055,"V1733","5","BAG","5"
"V173444",0.0949966505504778,"V1734","5","BAG","5"
"V173544",0.0867787481594807,"V1735","5","BAG","5"
"V173644",0.0513411785158438,"V1736","5","BAG","5"
"V173744",0.112198841508146,"V1737","5","BAG","5"
"V173844",0.209520045345769,"V1738","5","BAG","5"
"V173944",0.579656937776335,"V1739","5","BAG","5"
"V174044",0.0903734003779756,"V1740","5","BAG","5"
"V174174",0.201016817957753,"V1741","5","BAG","5"
"V174244",0.11159274670539,"V1742","5","BAG","5"
"V174344",0.0581064519800067,"V1743","5","BAG","5"
"V174444",0.174062258733984,"V1744","5","BAG","5"
"V174544",0.102794495566686,"V1745","5","BAG","5"
"V174644",0.217679304830057,"V1746","5","BAG","5"
"V174744",0.170078339600474,"V1747","5","BAG","5"
"V174844",0.153099958987637,"V1748","5","BAG","5"
"V174944",0.113269467871923,"V1749","5","BAG","5"
"V175044",0.131730642106484,"V1750","5","BAG","5"
"V175174",0.0803874389330039,"V1751","5","BAG","5"
"V175244",0.163939153506631,"V1752","5","BAG","5"
"V175344",0.283307869698892,"V1753","5","BAG","5"
"V175444",0.230037397960062,"V1754","5","BAG","5"
"V175544",0.0752017074059365,"V1755","5","BAG","5"
"V175644",0.120204846289149,"V1756","5","BAG","5"
"V175744",0.263835034026364,"V1757","5","BAG","5"
"V175844",0.130616599450031,"V1758","5","BAG","5"
"V175944",0.32156417860316,"V1759","5","BAG","5"
"V176044",0.251768553407335,"V1760","5","BAG","5"
"V176174",0.139856787796752,"V1761","5","BAG","5"
"V176244",0.8222222932013,"V1762","5","BAG","5"
"V176344",0.251582825080328,"V1763","5","BAG","5"
"V176444",0.129277488163551,"V1764","5","BAG","5"
"V176544",0.0836653350218546,"V1765","5","BAG","5"
"V176644",0.226811141913544,"V1766","5","BAG","5"
"V176744",0.0710083911029277,"V1767","5","BAG","5"
"V176844",0.119412012198123,"V1768","5","BAG","5"
"V176944",0.145433094097681,"V1769","5","BAG","5"
"V177044",0.12656441704598,"V1770","5","BAG","5"
"V177174",0.0422409532240211,"V1771","5","BAG","5"
"V177244",0.132876350321782,"V1772","5","BAG","5"
"V177344",0.27408241871033,"V1773","5","BAG","5"
"V177444",0.208103725818849,"V1774","5","BAG","5"
"V177544",0.32541881730093,"V1775","5","BAG","5"
"V177644",0.123426213620166,"V1776","5","BAG","5"
"V177744",0.175313871899266,"V1777","5","BAG","5"
"V177844",0.164220628404572,"V1778","5","BAG","5"
"V177944",0.564012478543941,"V1779","5","BAG","5"
"V178044",0.11410469878969,"V1780","5","BAG","5"
"V178174",0.50735846283102,"V1781","5","BAG","5"
"V178244",0.290597046825554,"V1782","5","BAG","5"
"V178344",0.106385943241346,"V1783","5","BAG","5"
"V178444",0.296085078723311,"V1784","5","BAG","5"
"V178544",0.107572991444957,"V1785","5","BAG","5"
"V178644",0.305453177643628,"V1786","5","BAG","5"
"V178744",0.106556380141865,"V1787","5","BAG","5"
"V178844",0.148027031450732,"V1788","5","BAG","5"
"V178944",0.399936558412595,"V1789","5","BAG","5"
"V179044",0.634646587214337,"V1790","5","BAG","5"
"V179174",0.0891220873269566,"V1791","5","BAG","5"
"V179244",0.0880238109106099,"V1792","5","BAG","5"
"V179344",0.0988016597264878,"V1793","5","BAG","5"
"V179444",0.071162161224983,"V1794","5","BAG","5"
"V179544",0.0630619896983575,"V1795","5","BAG","5"
"V179644",0.150410325337612,"V1796","5","BAG","5"
"V179744",0.10483980950802,"V1797","5","BAG","5"
"V179844",0.116247832346332,"V1798","5","BAG","5"
"V179944",0.0580066756046617,"V1799","5","BAG","5"
"V180044",0.0742102671498251,"V1800","5","BAG","5"
"V180174",0.139350784349674,"V1801","5","BAG","5"
"V180244",0.134274986267611,"V1802","5","BAG","5"
"V180344",0.0469896880189675,"V1803","5","BAG","5"
"V180444",0.049866213638414,"V1804","5","BAG","5"
"V180544",0.0554404745953485,"V1805","5","BAG","5"
"V180644",0.0800903923168076,"V1806","5","BAG","5"
"V180744",0.100751751874027,"V1807","5","BAG","5"
"V180844",0.104380056615866,"V1808","5","BAG","5"
"V180944",0.0828080530513158,"V1809","5","BAG","5"
"V181074",0.11632291430491,"V1810","5","BAG","5"
"V181174",0.0676378210587899,"V1811","5","BAG","5"
"V181244",0.0828829632841544,"V1812","5","BAG","5"
"V181344",0.124681663831195,"V1813","5","BAG","5"
"V181444",0.0936997830008299,"V1814","5","BAG","5"
"V181544",0.125397975060261,"V1815","5","BAG","5"
"V181644",0.139042902225709,"V1816","5","BAG","5"
"V181744",0.374404711379506,"V1817","5","BAG","5"
"V181844",0.269758229873759,"V1818","5","BAG","5"
"V181944",0.143356295329147,"V1819","5","BAG","5"
"V182044",0.131729046590131,"V1820","5","BAG","5"
"V182174",0.330436501397763,"V1821","5","BAG","5"
"V182244",0.580646179379591,"V1822","5","BAG","5"
"V182344",0.303332904099334,"V1823","5","BAG","5"
"V182444",0.291888988191082,"V1824","5","BAG","5"
"V182544",0.0734883243218076,"V1825","5","BAG","5"
"V182644",0.163159541301336,"V1826","5","BAG","5"
"V182744",0.105286326483654,"V1827","5","BAG","5"
"V182844",0.122025392090505,"V1828","5","BAG","5"
"V182944",0.0346072785457222,"V1829","5","BAG","5"
"V183044",0.267464858526556,"V1830","5","BAG","5"
"V183174",0.0611807331297747,"V1831","5","BAG","5"
"V183244",0.191200024027771,"V1832","5","BAG","5"
"V183344",0.312676236473832,"V1833","5","BAG","5"
"V183444",0.226928054240175,"V1834","5","BAG","5"
"V183544",0.297910330437653,"V1835","5","BAG","5"
"V183644",0.151372040450188,"V1836","5","BAG","5"
"V183744",0.218172846595068,"V1837","5","BAG","5"
"V183844",0.310658277326443,"V1838","5","BAG","5"
"V183944",2.14212892944956,"V1839","5","BAG","5"
"V184044",0.169396589591228,"V1840","5","BAG","5"
"V184174",0.185421906937028,"V1841","5","BAG","5"
"V184244",0.342587492994832,"V1842","5","BAG","5"
"V184344",0.611926966478174,"V1843","5","BAG","5"
"V184444",0.376502186120646,"V1844","5","BAG","5"
"V184544",1.02985446894235,"V1845","5","BAG","5"
"V184644",0.191469753871742,"V1846","5","BAG","5"
"V184744",0.49542926884208,"V1847","5","BAG","5"
"V184844",0.361090245519209,"V1848","5","BAG","5"
"V184944",0.726163096554257,"V1849","5","BAG","5"
"V185044",0.725943398433245,"V1850","5","BAG","5"
"V185174",0.153041288874068,"V1851","5","BAG","5"
"V185244",0.196881779617932,"V1852","5","BAG","5"
"V185344",0.147558784392487,"V1853","5","BAG","5"
"V185444",0.100896916919599,"V1854","5","BAG","5"
"V185544",0.157852127248245,"V1855","5","BAG","5"
"V185644",0.136609589845937,"V1856","5","BAG","5"
"V185744",0.111500693388463,"V1857","5","BAG","5"
"V185844",0.0476995411364282,"V1858","5","BAG","5"
"V185944",0.0202791923876133,"V1859","5","BAG","5"
"V186044",0.0695213532683008,"V1860","5","BAG","5"
"V186174",0.0735536255218565,"V1861","5","BAG","5"
"V186244",0.235449667892333,"V1862","5","BAG","5"
"V186344",0.125447541919316,"V1863","5","BAG","5"
"V186444",0.152136533433442,"V1864","5","BAG","5"
"V186544",0.219419519934514,"V1865","5","BAG","5"
"V186644",0.115283104498719,"V1866","5","BAG","5"
"V186744",0.0886406233866169,"V1867","5","BAG","5"
"V186844",0.131545077047539,"V1868","5","BAG","5"
"V186944",0.0722676956278934,"V1869","5","BAG","5"
"V187044",0.077229518941578,"V1870","5","BAG","5"
"V187174",0.0930150828863761,"V1871","5","BAG","5"
"V187244",0.114826628132985,"V1872","5","BAG","5"
"V187344",0.119554339354449,"V1873","5","BAG","5"
"V187444",0.0939867828755641,"V1874","5","BAG","5"
"V187544",0.116906327691118,"V1875","5","BAG","5"
"V187644",0.0580377474036411,"V1876","5","BAG","5"
"V187744",0.200042717858081,"V1877","5","BAG","5"
"V187844",0.0986166795141598,"V1878","5","BAG","5"
"V187944",0.109714050634281,"V1879","5","BAG","5"
"V188044",0.0696114057349861,"V1880","5","BAG","5"
"V188174",0.0910027979158094,"V1881","5","BAG","5"
"V188244",0.0639475444660947,"V1882","5","BAG","5"
"V188344",0.124932693806394,"V1883","5","BAG","5"
"V188444",0.132204625750449,"V1884","5","BAG","5"
"V188544",0.168574669826957,"V1885","5","BAG","5"
"V188644",0.0941526388102595,"V1886","5","BAG","5"
"V188744",0.0322415467219193,"V1887","5","BAG","5"
"V188844",0.0790257705103893,"V1888","5","BAG","5"
"V188944",0.060623562771485,"V1889","5","BAG","5"
"V189044",0.0381057547245864,"V1890","5","BAG","5"
"V189174",0.0909422944903716,"V1891","5","BAG","5"
"V189244",0.104834773239097,"V1892","5","BAG","5"
"V189344",0.0721065007918221,"V1893","5","BAG","5"
"V189444",0.0357962852639367,"V1894","5","BAG","5"
"V189544",0.116061176577045,"V1895","5","BAG","5"
"V189644",0.0530371979629475,"V1896","5","BAG","5"
"V189744",0.185678237165892,"V1897","5","BAG","5"
"V189844",0.105928245954367,"V1898","5","BAG","5"
"V189944",0.09683756817179,"V1899","5","BAG","5"
"V190044",0.116503374270189,"V1900","5","BAG","5"
"V190174",0.0734155616226453,"V1901","5","BAG","5"
"V190244",0.112378952855178,"V1902","5","BAG","5"
"V190344",0.098981299143236,"V1903","5","BAG","5"
"V190444",0.157556713169134,"V1904","5","BAG","5"
"V190544",0.0907885273644004,"V1905","5","BAG","5"
"V190644",0.0828816443172656,"V1906","5","BAG","5"
"V190744",0.100172221586112,"V1907","5","BAG","5"
"V190844",0.104909874671149,"V1908","5","BAG","5"
"V190944",0.136211678494387,"V1909","5","BAG","5"
"V191074",0.148895352053273,"V1910","5","BAG","5"
"V191174",0.0582946106346389,"V1911","5","BAG","5"
"V191244",0.166270435949269,"V1912","5","BAG","5"
"V191344",0.0961874392892197,"V1913","5","BAG","5"
"V191444",0.334772588650997,"V1914","5","BAG","5"
"V191544",0.18700041485384,"V1915","5","BAG","5"
"V191644",0.211804374207677,"V1916","5","BAG","5"
"V191744",0.105654323184254,"V1917","5","BAG","5"
"V191844",0.198201650164463,"V1918","5","BAG","5"
"V191944",0.0594692105593088,"V1919","5","BAG","5"
"V192044",0.0961145319225083,"V1920","5","BAG","5"
"V192174",0.0485905175196898,"V1921","5","BAG","5"
"V192244",0.248869951149419,"V1922","5","BAG","5"
"V192344",0.137260593171569,"V1923","5","BAG","5"
"V192444",0.129533054753368,"V1924","5","BAG","5"
"V192544",0.257961278376975,"V1925","5","BAG","5"
"V192644",0.112127984587511,"V1926","5","BAG","5"
"V192744",0.0735729920182626,"V1927","5","BAG","5"
"V192844",0.0823872468247268,"V1928","5","BAG","5"
"V192944",0.0933623849774498,"V1929","5","BAG","5"
"V193044",0.216058105199768,"V1930","5","BAG","5"
"V193174",0.14337673783853,"V1931","5","BAG","5"
"V193244",0.116355898585831,"V1932","5","BAG","5"
"V193344",0.0329616855982247,"V1933","5","BAG","5"
"V193444",0.0606863359581465,"V1934","5","BAG","5"
"V193544",0.0658380222479929,"V1935","5","BAG","5"
"V193644",0.12704052902029,"V1936","5","BAG","5"
"V193744",0.117274364025369,"V1937","5","BAG","5"
"V193844",0.0894751314493888,"V1938","5","BAG","5"
"V193944",0.0634870662846333,"V1939","5","BAG","5"
"V194044",0.0972486863661577,"V1940","5","BAG","5"
"V194174",0.137939363008731,"V1941","5","BAG","5"
"V194244",0.257162914294302,"V1942","5","BAG","5"
"V194344",0.0681948773410079,"V1943","5","BAG","5"
"V194444",0.0649165109380801,"V1944","5","BAG","5"
"V194544",0.107304396524411,"V1945","5","BAG","5"
"V194644",0.0323601477542337,"V1946","5","BAG","5"
"V194744",0.172766629438845,"V1947","5","BAG","5"
"V194844",0.246819371867384,"V1948","5","BAG","5"
"V194944",0.118314688852108,"V1949","5","BAG","5"
"V195044",0.264555104503205,"V1950","5","BAG","5"
"V195174",0.109545199215256,"V1951","5","BAG","5"
"V195244",0.25316029304249,"V1952","5","BAG","5"
"V195344",0.42720853059266,"V1953","5","BAG","5"
"V195444",0.681194811202716,"V1954","5","BAG","5"
"V195544",0.230612864205883,"V1955","5","BAG","5"
"V195644",0.166340518187185,"V1956","5","BAG","5"
"V195744",0.153074118541299,"V1957","5","BAG","5"
"V195844",0.111854820878818,"V1958","5","BAG","5"
"V195944",0.260339132700106,"V1959","5","BAG","5"
"V196044",0.241584547964595,"V1960","5","BAG","5"
"V196174",0.15331905445353,"V1961","5","BAG","5"
"V196244",0.108085949551774,"V1962","5","BAG","5"
"V196344",0.274503595564874,"V1963","5","BAG","5"
"V196444",0.230511984996685,"V1964","5","BAG","5"
"V196544",0.33499339052227,"V1965","5","BAG","5"
"V196644",0.151836774095789,"V1966","5","BAG","5"
"V196744",0.152539876281857,"V1967","5","BAG","5"
"V196844",0.180854687685264,"V1968","5","BAG","5"
"V196944",0.290988249099739,"V1969","5","BAG","5"
"V197044",0.0676851976491303,"V1970","5","BAG","5"
"V197174",0.176733507600886,"V1971","5","BAG","5"
"V197244",0.158530277985838,"V1972","5","BAG","5"
"V197344",0.0789400875858636,"V1973","5","BAG","5"
"V197444",0.383400236422849,"V1974","5","BAG","5"
"V197544",0.464926436120753,"V1975","5","BAG","5"
"V197644",0.406261910632465,"V1976","5","BAG","5"
"V197744",0.228573678070368,"V1977","5","BAG","5"
"V197844",0.159380318522078,"V1978","5","BAG","5"
"V197944",0.20891714782677,"V1979","5","BAG","5"
"V198044",0.196058880594694,"V1980","5","BAG","5"
"V198174",0.247681417391694,"V1981","5","BAG","5"
"V198244",0.0724590286854734,"V1982","5","BAG","5"
"V198344",0.0824440947331778,"V1983","5","BAG","5"
"V198444",0.116245581506746,"V1984","5","BAG","5"
"V198544",0.253798749392085,"V1985","5","BAG","5"
"V198644",0.109556265536548,"V1986","5","BAG","5"
"V198744",0.24439405733911,"V1987","5","BAG","5"
"V198844",0.168202205346008,"V1988","5","BAG","5"
"V198944",0.131771029320351,"V1989","5","BAG","5"
"V199044",0.107372738613939,"V1990","5","BAG","5"
"V199174",0.177961277545933,"V1991","5","BAG","5"
"V199244",0.246574155701478,"V1992","5","BAG","5"
"V199344",0.307693043205036,"V1993","5","BAG","5"
"V199444",0.734094192181283,"V1994","5","BAG","5"
"V199544",0.235175999479676,"V1995","5","BAG","5"
"V199644",0.215939089586761,"V1996","5","BAG","5"
"V199744",0.439086996532998,"V1997","5","BAG","5"
"V199844",0.255196008230354,"V1998","5","BAG","5"
"V199944",0.182179531910834,"V1999","5","BAG","5"
"V200044",0.375982398750022,"V2000","5","BAG","5"
"V200174",0.245364464555276,"V2001","5","BAG","5"
"V200244",0.395368269609881,"V2002","5","BAG","5"
"V200344",0.62054524062751,"V2003","5","BAG","5"
"V200444",0.650420775425819,"V2004","5","BAG","5"
"V200544",0.807182405561123,"V2005","5","BAG","5"
"V200644",0.305372023214415,"V2006","5","BAG","5"
"V200744",0.218751957350847,"V2007","5","BAG","5"
"V200844",0.104928109789711,"V2008","5","BAG","5"
"V200944",0.130950023491187,"V2009","5","BAG","5"
"V201074",0.0868876189469034,"V2010","5","BAG","5"
"V201174",0.202273324324264,"V2011","5","BAG","5"
"V201244",0.165844354450095,"V2012","5","BAG","5"
"V201344",0.165224571672077,"V2013","5","BAG","5"
"V201444",0.0547983947749252,"V2014","5","BAG","5"
"V201544",0.0956091018541298,"V2015","5","BAG","5"
"V201644",0.048820077195502,"V2016","5","BAG","5"
"V201744",0.182658078533612,"V2017","5","BAG","5"
"V201844",0.139213160690087,"V2018","5","BAG","5"
"V201944",0.21049044710606,"V2019","5","BAG","5"
"V202044",0.129930503582876,"V2020","5","BAG","5"
"V202174",0.088159286984326,"V2021","5","BAG","5"
"V202244",0.152748220510567,"V2022","5","BAG","5"
"V202344",0.252385790685375,"V2023","5","BAG","5"
"V202444",0.157936842908813,"V2024","5","BAG","5"
"V202544",0.258170646996106,"V2025","5","BAG","5"
"V202644",0.233009291563487,"V2026","5","BAG","5"
"V202744",0.197924032987896,"V2027","5","BAG","5"
"V202844",0.202467898040001,"V2028","5","BAG","5"
"V202944",0.304151875445263,"V2029","5","BAG","5"
"V203044",0.488229323335262,"V2030","5","BAG","5"
"V203174",0.769731247280793,"V2031","5","BAG","5"
"V203244",0.301315456921092,"V2032","5","BAG","5"
"V203344",0.22050523372864,"V2033","5","BAG","5"
"V203444",0.0926014147995507,"V2034","5","BAG","5"
"V203544",0.208052016702109,"V2035","5","BAG","5"
"V203644",0.205091794216015,"V2036","5","BAG","5"
"V203744",0.135714305869243,"V2037","5","BAG","5"
"V203844",0.178544186193652,"V2038","5","BAG","5"
"V203944",0.186815225954655,"V2039","5","BAG","5"
"V204044",0.318949262593248,"V2040","5","BAG","5"
"V204174",0.199253540255916,"V2041","5","BAG","5"
"V204244",0.173497969183821,"V2042","5","BAG","5"
"V204344",0.253496952052818,"V2043","5","BAG","5"
"V204444",0.374813621612811,"V2044","5","BAG","5"
"V204544",0.0840880478749957,"V2045","5","BAG","5"
"V204644",0.129075348471336,"V2046","5","BAG","5"
"V204744",0.0620218497904823,"V2047","5","BAG","5"
"V204844",0.112134144166401,"V2048","5","BAG","5"
"V204944",0.1456230537983,"V2049","5","BAG","5"
"V205044",0.243174975995521,"V2050","5","BAG","5"
"V205174",0.295537022928721,"V2051","5","BAG","5"
"V205244",0.107134415425308,"V2052","5","BAG","5"
"V205344",0.238653949495997,"V2053","5","BAG","5"
"V205444",1.06009186598267,"V2054","5","BAG","5"
"V205544",0.539357731139883,"V2055","5","BAG","5"
"V205644",0.21182000133336,"V2056","5","BAG","5"
"V205744",0.214623078851638,"V2057","5","BAG","5"
"V205844",0.121493388284275,"V2058","5","BAG","5"
"V205944",0.179704448431038,"V2059","5","BAG","5"
"V206044",0.0976988200255925,"V2060","5","BAG","5"
"V206174",0.115508253865335,"V2061","5","BAG","5"
"V206244",0.120888741580473,"V2062","5","BAG","5"
"V206344",0.111956265296074,"V2063","5","BAG","5"
"V206444",0.0453209879718931,"V2064","5","BAG","5"
"V206544",0.104932011002062,"V2065","5","BAG","5"
"V206644",0.101721861788855,"V2066","5","BAG","5"
"V206744",0.0656007804074342,"V2067","5","BAG","5"
"V206844",0.0900138095855742,"V2068","5","BAG","5"
"V206944",0.103739973766837,"V2069","5","BAG","5"
"V207044",0.194640479150593,"V2070","5","BAG","5"
"V207174",0.126427344138841,"V2071","5","BAG","5"
"V207244",0.275735574761617,"V2072","5","BAG","5"
"V207344",0.208773783740897,"V2073","5","BAG","5"
"V207444",0.163871012548789,"V2074","5","BAG","5"
"V207544",0.0990324251890551,"V2075","5","BAG","5"
"V207644",0.12235904125879,"V2076","5","BAG","5"
"V207744",0.173424987521884,"V2077","5","BAG","5"
"V207844",0.25865234990638,"V2078","5","BAG","5"
"V207944",0.325178173145655,"V2079","5","BAG","5"
"V208044",0.276389086504047,"V2080","5","BAG","5"
"V208174",1.6379600615492,"V2081","5","BAG","5"
"V208244",0.305630505169892,"V2082","5","BAG","5"
"V208344",0.592701028207273,"V2083","5","BAG","5"
"V208444",0.179280386254473,"V2084","5","BAG","5"
"V208544",0.186698261202651,"V2085","5","BAG","5"
"V208644",0.316579871123477,"V2086","5","BAG","5"
"V208744",0.274941468251134,"V2087","5","BAG","5"
"V208844",0.0689327344731416,"V2088","5","BAG","5"
"V208944",0.115462295723726,"V2089","5","BAG","5"
"V209044",0.147778080032418,"V2090","5","BAG","5"
"V209174",0.225923960189976,"V2091","5","BAG","5"
"V209244",0.109309304231689,"V2092","5","BAG","5"
"V209344",0.081796110316766,"V2093","5","BAG","5"
"V209444",0.23150508487907,"V2094","5","BAG","5"
"V209544",0.333693771589279,"V2095","5","BAG","5"
"V209644",0.131406734668184,"V2096","5","BAG","5"
"V209744",0.13889173396813,"V2097","5","BAG","5"
"V209844",0.734445475710701,"V2098","5","BAG","5"
"V209944",0.194425677580215,"V2099","5","BAG","5"
"V210074",0.479161434970134,"V2100","5","BAG","5"
"V210174",0.124945308491283,"V2101","5","BAG","5"
"V210244",0.0575253836200513,"V2102","5","BAG","5"
"V210344",0.341092377751273,"V2103","5","BAG","5"
"V210444",0.216554831506634,"V2104","5","BAG","5"
"V210544",0.0646708446548522,"V2105","5","BAG","5"
"V210644",0.0957049138048177,"V2106","5","BAG","5"
"V210744",0.0897012155960929,"V2107","5","BAG","5"
"V210844",0.127925423909204,"V2108","5","BAG","5"
"V210944",0.118295596947174,"V2109","5","BAG","5"
"V211074",0.179578143168825,"V2110","5","BAG","5"
"V211174",0.11817454464224,"V2111","5","BAG","5"
"V211244",0.0868398195998703,"V2112","5","BAG","5"
"V211344",0.0630442081821022,"V2113","5","BAG","5"
"V211444",0.22302509244572,"V2114","5","BAG","5"
"V211544",0.074961896310554,"V2115","5","BAG","5"
"V211644",0.217428592945194,"V2116","5","BAG","5"
"V211744",0.143916803338264,"V2117","5","BAG","5"
"V211844",0.0849644124615845,"V2118","5","BAG","5"
"V211944",0.0874632734450253,"V2119","5","BAG","5"
"V212044",0.152132629978358,"V2120","5","BAG","5"
"V212174",0.103158859431802,"V2121","5","BAG","5"
"V212244",0.131182494771951,"V2122","5","BAG","5"
"V212344",0.155473975125977,"V2123","5","BAG","5"
"V212444",0.164743622583581,"V2124","5","BAG","5"
"V212544",0.151097798892809,"V2125","5","BAG","5"
"V212644",0.0924452929157584,"V2126","5","BAG","5"
"V212744",0.103927249465729,"V2127","5","BAG","5"
"V212844",0.0999419097939236,"V2128","5","BAG","5"
"V212944",0.0963706699638789,"V2129","5","BAG","5"
"V213044",0.0671857025592139,"V2130","5","BAG","5"
"V213174",0.102187209243837,"V2131","5","BAG","5"
"V213244",0.191837694662673,"V2132","5","BAG","5"
"V213344",0.0643620301227144,"V2133","5","BAG","5"
"V213444",0.0561156740401541,"V2134","5","BAG","5"
"V213544",0.0526101130311601,"V2135","5","BAG","5"
"V213644",0.0679392245140471,"V2136","5","BAG","5"
"V213744",0.102066228040061,"V2137","5","BAG","5"
"V213844",0.100313516242076,"V2138","5","BAG","5"
"V213944",0.10053235921758,"V2139","5","BAG","5"
"V214044",0.11985932897759,"V2140","5","BAG","5"
"V214174",0.0814277832983922,"V2141","5","BAG","5"
"V214244",0.0973859552873368,"V2142","5","BAG","5"
"V214344",0.0873086180904113,"V2143","5","BAG","5"
"V214444",0.130954429134674,"V2144","5","BAG","5"
"V214544",0.079047341465983,"V2145","5","BAG","5"
"V214644",0.0782676492679524,"V2146","5","BAG","5"
"V214744",0.0614996403185518,"V2147","5","BAG","5"
